"TerminalReward","Model"
180,"greedy"
173,"greedy"
152,"greedy"
170,"greedy"
171,"greedy"
175,"greedy"
155,"greedy"
157,"greedy"
135,"greedy"
180,"greedy"
155,"greedy"
180,"greedy"
175,"greedy"
135,"greedy"
177,"greedy"
115,"greedy"
180,"greedy"
175,"greedy"
175,"greedy"
168,"greedy"
175,"greedy"
179,"greedy"
160,"greedy"
175,"greedy"
155,"greedy"
163,"greedy"
168,"greedy"
159,"greedy"
168,"greedy"
177,"greedy"
178,"greedy"
176,"greedy"
180,"greedy"
180,"greedy"
156,"greedy"
130,"greedy"
180,"greedy"
180,"greedy"
175,"greedy"
174,"greedy"
165,"greedy"
132,"greedy"
160,"greedy"
164,"greedy"
180,"greedy"
176,"greedy"
180,"greedy"
175,"greedy"
160,"greedy"
177,"greedy"
160,"greedy"
160,"greedy"
180,"greedy"
178,"greedy"
174,"greedy"
175,"greedy"
177,"greedy"
180,"greedy"
150,"greedy"
133,"greedy"
178,"greedy"
175,"greedy"
155,"greedy"
156,"greedy"
175,"greedy"
177,"greedy"
175,"greedy"
164,"greedy"
155,"greedy"
176,"greedy"
180,"greedy"
175,"greedy"
161,"greedy"
178,"greedy"
180,"greedy"
177,"greedy"
160,"greedy"
135,"greedy"
180,"greedy"
180,"greedy"
131,"greedy"
164,"greedy"
178,"greedy"
152,"greedy"
176,"greedy"
163,"greedy"
174,"greedy"
177,"greedy"
178,"greedy"
160,"greedy"
180,"greedy"
170,"greedy"
180,"greedy"
160,"greedy"
151,"greedy"
176,"greedy"
180,"greedy"
155,"greedy"
177,"greedy"
180,"greedy"
110,"greedy"
180,"greedy"
177,"greedy"
162,"greedy"
176,"greedy"
179,"greedy"
180,"greedy"
177,"greedy"
156,"greedy"
164,"greedy"
170,"greedy"
177,"greedy"
115,"greedy"
156,"greedy"
156,"greedy"
160,"greedy"
160,"greedy"
180,"greedy"
177,"greedy"
163,"greedy"
168,"greedy"
135,"greedy"
164,"greedy"
155,"greedy"
173,"greedy"
180,"greedy"
135,"greedy"
115,"greedy"
156,"greedy"
160,"greedy"
176,"greedy"
177,"greedy"
168,"greedy"
155,"greedy"
135,"greedy"
155,"greedy"
177,"greedy"
176,"greedy"
164,"greedy"
178,"greedy"
180,"greedy"
180,"greedy"
144,"greedy"
107,"greedy"
132,"greedy"
106,"greedy"
175,"greedy"
158,"greedy"
163,"greedy"
153,"greedy"
178,"greedy"
160,"greedy"
130,"greedy"
180,"greedy"
168,"greedy"
156,"greedy"
177,"greedy"
160,"greedy"
176,"greedy"
176,"greedy"
177,"greedy"
180,"greedy"
160,"greedy"
150,"greedy"
177,"greedy"
178,"greedy"
135,"greedy"
131,"greedy"
179,"greedy"
176,"greedy"
180,"greedy"
178,"greedy"
155,"greedy"
155,"greedy"
