"TerminalReward","Model"
188,"greedy"
87,"greedy"
173,"greedy"
188,"greedy"
114,"greedy"
188,"greedy"
160,"greedy"
176,"greedy"
178,"greedy"
168,"greedy"
176,"greedy"
124,"greedy"
157,"greedy"
188,"greedy"
163,"greedy"
90,"greedy"
154,"greedy"
184,"greedy"
114,"greedy"
145,"greedy"
182,"greedy"
176,"greedy"
124,"greedy"
176,"greedy"
171,"greedy"
124,"greedy"
188,"greedy"
146,"greedy"
176,"greedy"
154,"greedy"
182,"greedy"
109,"greedy"
163,"greedy"
163,"greedy"
155,"greedy"
180,"greedy"
109,"greedy"
179,"greedy"
106,"greedy"
188,"greedy"
176,"greedy"
167,"greedy"
99,"greedy"
186,"greedy"
166,"greedy"
112,"greedy"
173,"greedy"
188,"greedy"
143,"greedy"
186,"greedy"
178,"greedy"
176,"greedy"
188,"greedy"
124,"greedy"
65,"greedy"
129,"greedy"
188,"greedy"
155,"greedy"
145,"greedy"
176,"greedy"
168,"greedy"
176,"greedy"
89,"greedy"
173,"greedy"
174,"greedy"
188,"greedy"
154,"greedy"
182,"greedy"
127,"greedy"
112,"greedy"
163,"greedy"
179,"greedy"
145,"greedy"
170,"greedy"
180,"greedy"
161,"greedy"
176,"greedy"
188,"greedy"
121,"greedy"
173,"greedy"
188,"greedy"
176,"greedy"
188,"greedy"
170,"greedy"
182,"greedy"
188,"greedy"
117,"greedy"
178,"greedy"
139,"greedy"
182,"greedy"
184,"greedy"
173,"greedy"
188,"greedy"
165,"greedy"
188,"greedy"
188,"greedy"
180,"greedy"
117,"greedy"
178,"greedy"
188,"greedy"
127,"greedy"
170,"greedy"
180,"greedy"
172,"greedy"
112,"greedy"
188,"greedy"
163,"greedy"
170,"greedy"
168,"greedy"
188,"greedy"
168,"greedy"
154,"greedy"
186,"greedy"
182,"greedy"
109,"greedy"
173,"greedy"
124,"greedy"
182,"greedy"
163,"greedy"
188,"greedy"
127,"greedy"
188,"greedy"
188,"greedy"
163,"greedy"
112,"greedy"
182,"greedy"
184,"greedy"
164,"greedy"
188,"greedy"
178,"greedy"
186,"greedy"
188,"greedy"
143,"greedy"
102,"greedy"
184,"greedy"
142,"greedy"
188,"greedy"
94,"greedy"
112,"greedy"
163,"greedy"
93,"greedy"
87,"greedy"
188,"greedy"
163,"greedy"
166,"greedy"
169,"greedy"
173,"greedy"
124,"greedy"
124,"greedy"
114,"greedy"
124,"greedy"
188,"greedy"
182,"greedy"
176,"greedy"
182,"greedy"
127,"greedy"
179,"greedy"
186,"greedy"
123,"greedy"
188,"greedy"
154,"greedy"
188,"greedy"
178,"greedy"
188,"greedy"
170,"greedy"
188,"greedy"
188,"greedy"
161,"greedy"
124,"greedy"
127,"greedy"
182,"greedy"
180,"greedy"
157,"greedy"
188,"greedy"
163,"greedy"
167,"greedy"
109,"greedy"
180,"greedy"
170,"greedy"
188,"greedy"
161,"greedy"
182,"greedy"
176,"greedy"
168,"greedy"
188,"greedy"
127,"greedy"
188,"greedy"
182,"greedy"
182,"greedy"
179,"greedy"
179,"greedy"
188,"greedy"
188,"greedy"
182,"greedy"
176,"greedy"
124,"greedy"
173,"greedy"
178,"greedy"
179,"greedy"
176,"greedy"
188,"greedy"
170,"greedy"
176,"greedy"
179,"greedy"
176,"greedy"
129,"greedy"
163,"greedy"
180,"greedy"
116,"greedy"
188,"greedy"
148,"greedy"
186,"greedy"
129,"greedy"
120,"greedy"
186,"greedy"
180,"greedy"
176,"greedy"
178,"greedy"
163,"greedy"
154,"greedy"
176,"greedy"
176,"greedy"
188,"greedy"
188,"greedy"
124,"greedy"
116,"greedy"
160,"greedy"
102,"greedy"
188,"greedy"
184,"greedy"
154,"greedy"
170,"greedy"
188,"greedy"
124,"greedy"
166,"greedy"
188,"greedy"
182,"greedy"
123,"greedy"
188,"greedy"
188,"greedy"
178,"greedy"
163,"greedy"
170,"greedy"
127,"greedy"
179,"greedy"
115,"greedy"
160,"greedy"
145,"greedy"
133,"greedy"
176,"greedy"
179,"greedy"
168,"greedy"
127,"greedy"
166,"greedy"
164,"greedy"
182,"greedy"
163,"greedy"
179,"greedy"
184,"greedy"
180,"greedy"
163,"greedy"
176,"greedy"
188,"greedy"
182,"greedy"
178,"greedy"
188,"greedy"
176,"greedy"
78,"greedy"
176,"greedy"
166,"greedy"
182,"greedy"
163,"greedy"
151,"greedy"
178,"greedy"
90,"greedy"
129,"greedy"
188,"greedy"
179,"greedy"
180,"greedy"
188,"greedy"
182,"greedy"
188,"greedy"
155,"greedy"
188,"greedy"
188,"greedy"
188,"greedy"
115,"greedy"
154,"greedy"
188,"greedy"
170,"greedy"
84,"greedy"
188,"greedy"
180,"greedy"
188,"greedy"
142,"greedy"
116,"greedy"
179,"greedy"
188,"greedy"
109,"greedy"
173,"greedy"
176,"greedy"
182,"greedy"
178,"greedy"
188,"greedy"
188,"greedy"
186,"greedy"
186,"greedy"
171,"greedy"
